STT,Phòng thi,Ghi chú
1,128,
2,129,
3,130,
4,131,
5,132,
6,133,
7,134,
8,135,
9,136,
10,137,
11,138,
12,139,
13,140,
14,141,
15,142,
16,143,
17,144,
18,145,
19,146,
20,147,
21,148,
22,149,
23,150,
24,151,
25,152,
26,153,
27,154,
28,155,
29,156,
30,157,
31,158,
32,159,
33,160,
34,161,
35,162,
36,163,
37,164,
38,165,
39,166,
40,167,
41,168,
42,169,
43,170,
44,171,
45,172,
46,173,
47,174,
48,175,
49,176,
50,177,
51,178,
52,179,
53,180,
54,181,
55,182,
56,183,
57,184,
58,185,
59,186,
60,187,
61,188,
62,189,
63,190,
64,191,
65,192,
66,193,
67,194,
68,195,
69,196,
70,197,
71,198,
72,199,
73,200,
74,201,
75,202,
76,203,
77,204,
78,205,
79,206,
80,207,
81,208,
82,209,
83,210,
84,211,
85,212,
86,213,
87,214,
88,215,
89,216,
90,217,
91,218,
92,219,
93,220,
94,221,
95,222,
96,223,
97,224,
98,225,
99,226,
100,227,
101,228,
102,229,
103,230,
104,231,
105,232,
106,233,
107,234,
108,235,
109,236,
110,237,
111,238,
112,239,
113,240,
114,241,
115,242,
116,243,
117,244,
118,245,
119,246,
120,247,
121,248,
122,249,
123,250,
124,251,
125,252,
126,253,
127,254,
128,255,
129,256,
130,257,
131,258,
132,259,
133,260,
134,261,
135,262,
136,263,
137,264,
138,265,
139,266,
140,267,
141,268,
142,269,
143,270,
144,271,
145,272,
146,273,
147,274,
148,275,
149,276,
150,277,
151,278,
152,279,
153,280,
154,281,
155,282,
156,283,
157,284,
158,285,
159,286,
160,287,
161,288,
162,289,
163,290,
164,291,
165,292,
166,293,
167,294,
168,295,
169,296,
170,297,
171,298,
172,299,
173,300,
174,301,
175,302,
176,303,
177,304,
178,305,
179,306,
180,307,
181,308,
182,309,
183,310,
184,311,
185,312,
186,313,
187,314,
188,315,
189,316,
190,317,
191,318,
192,319,
193,320,
194,321,
195,322,
196,323,
197,324,
198,325,
199,326,
200,327,
201,328,
202,329,
203,330,
204,331,
205,332,
206,333,
207,334,
208,335,
209,336,
210,337,
211,338,
212,339,
213,340,
214,341,
215,342,
216,343,
217,344,
218,345,
219,346,
220,347,
221,348,
222,349,
223,350,
224,351,
225,352,
226,353,
227,354,
228,355,
229,356,
230,357,
231,358,
232,359,
233,360,
234,361,
235,362,
236,363,
237,364,
238,365,
239,366,
240,367,
241,368,
242,369,
243,370,
244,371,
245,372,
246,373,
247,374,
248,375,
249,376,
250,377,
251,378,
252,379,
253,380,
254,381,
255,382,
256,383,
257,384,
258,385,
259,386,
260,387,
261,388,
262,389,
263,390,
264,391,
265,392,
266,393,
267,394,
268,395,
269,396,
270,397,
271,398,
272,399,
273,400,
274,401,
275,402,
276,403,
277,404,
278,405,
279,406,
280,407,
281,408,
282,409,
283,410,
284,411,
285,412,
286,413,
287,414,
288,415,
289,416,
290,417,
291,418,
292,419,
293,420,
294,421,
295,422,
296,423,
297,424,
298,425,
299,426,
300,427,
301,428,
302,429,
303,430,
304,431,
305,432,
306,433,
307,434,
308,435,
309,436,
310,437,
311,438,
312,439,
313,440,
314,441,
315,442,
316,443,
317,444,
318,445,
319,446,
320,447,
321,448,
322,449,
323,450,
324,451,
325,452,
326,453,
327,454,
328,455,
329,456,
330,457,
331,458,
332,459,
333,460,
334,461,
335,462,
336,463,
337,464,
338,465,
339,466,
340,467,
341,468,
342,469,
343,470,
344,471,
345,472,
346,473,
347,474,
348,475,
349,476,
350,477,
351,478,
352,479,
353,480,
354,481,
355,482,
356,483,
357,484,
358,485,
359,486,
360,487,
361,488,
362,489,
363,490,
364,491,
365,492,
366,493,
367,494,
368,495,
369,496,
370,497,
371,498,
372,499,
373,500,
374,501,
375,502,
376,503,
377,504,
378,505,
379,506,
380,507,
381,508,
382,509,
383,510,
384,511,
385,512,
386,513,
387,514,
388,515,
389,516,
390,517,
391,518,
392,519,
393,520,
394,521,
395,522,
396,523,
397,524,
398,525,
399,526,
400,527,
401,528,
402,529,
403,530,
404,531,
405,532,
406,533,
407,534,
408,535,
409,536,
410,537,
411,538,
412,539,
413,540,
414,541,
415,542,
416,543,
417,544,
418,545,
419,546,
420,547,
421,548,
422,549,
423,550,
424,551,
425,552,
426,553,
427,554,
428,555,
429,556,
430,557,
431,558,
432,559,
433,560,
434,561,
435,562,
436,563,
437,564,
438,565,
439,566,
440,567,
441,568,
442,569,
443,570,
444,571,
445,572,
446,573,
447,574,
448,575,
449,576,
450,577,
451,578,
452,579,
453,580,
454,581,
455,582,
456,583,
457,584,
458,585,
459,586,
460,587,
461,588,
462,589,
463,590,
464,591,
465,592,
466,593,
467,594,
468,595,
469,596,
470,597,
471,598,
472,599,
473,600,
474,601,
475,602,
476,603,
477,604,
478,605,
479,606,
480,607,
481,608,
482,609,
483,610,
484,611,
485,612,
486,613,
487,614,
